location,count_suwbay,count_bus,count_taxi,count_filling_station,count_automobile_rental
"115.95,39.68",1,12,0,2,0
"115.96,39.68",1,7,0,3,0
"115.97,39.68",1,4,0,2,0
"115.97,39.72",1,12,0,2,0
"115.98,39.68",1,9,0,2,0
"115.98,39.69",2,19,0,3,0
"115.98,39.71",1,20,0,3,0
"115.98,39.72",1,16,0,2,0
"115.99,39.69",1,20,0,2,0
"115.99,39.70",2,23,0,2,0
"115.99,39.71",1,13,0,3,0
"116.00,39.70",1,7,0,1,1
"116.00,39.71",1,0,0,1,1
"116.01,39.70",2,9,0,2,1
"116.01,39.71",1,12,0,1,0
"116.02,39.70",1,7,0,1,0
"116.02,39.71",1,10,0,0,1
"116.03,39.71",1,2,0,2,1
"116.04,39.71",1,2,0,2,1
"116.05,39.71",1,7,0,2,0
"116.06,39.71",1,13,0,1,0
"116.06,39.72",1,8,0,1,0
"116.07,39.71",1,10,0,0,0
"116.07,39.72",1,10,0,3,0
"116.08,39.71",1,11,0,0,0
"116.08,39.72",2,8,0,3,0
"116.08,39.73",1,3,0,1,0
"116.09,39.72",2,8,0,5,0
"116.09,39.73",2,7,0,0,0
"116.09,39.89",1,4,0,0,0
"116.10,39.73",1,7,0,1,0
"116.10,39.89",1,12,0,0,0
"116.11,39.73",1,12,0,2,0
"116.11,39.89",2,14,0,0,0
"116.12,39.72",1,15,0,1,2
"116.12,39.73",1,24,0,3,2
"116.12,39.89",2,6,0,0,0
"116.12,39.90",2,7,0,0,0
"116.12,39.91",2,7,0,0,0
"116.12,39.92",1,11,0,0,0
"116.12,40.07",1,8,0,0,0
"116.13,39.72",2,18,0,2,2
"116.13,39.73",1,24,0,1,2
"116.13,39.89",1,5,0,0,0
"116.13,39.90",2,5,0,0,0
"116.13,39.91",3,3,0,0,0
"116.13,39.92",2,4,0,0,0
"116.13,40.06",1,6,0,3,0
"116.13,40.07",1,3,0,1,0
"116.14,39.72",1,15,0,1,0
"116.14,39.73",1,24,0,1,0
"116.14,39.91",1,1,0,0,0
"116.14,39.92",1,5,0,0,0
"116.14,40.07",1,1,0,2,0
"116.15,39.72",2,9,0,2,0
"116.15,39.73",1,24,0,1,0
"116.15,40.07",1,2,0,0,0
"116.16,39.72",1,9,0,3,0
"116.16,39.73",1,9,0,1,0
"116.16,39.92",1,18,0,2,0
"116.16,39.93",1,18,0,2,0
"116.16,40.06",1,5,0,0,0
"116.16,40.07",1,4,0,0,0
"116.17,39.72",1,8,0,1,2
"116.17,39.73",1,10,0,1,2
"116.17,39.92",2,18,0,2,0
"116.17,39.93",2,21,0,2,0
"116.17,40.07",1,4,0,1,0
"116.18,39.72",1,6,0,0,2
"116.18,39.73",2,12,0,0,0
"116.18,39.74",1,8,0,1,0
"116.18,39.75",1,9,0,2,0
"116.18,39.76",1,7,0,0,0
"116.18,39.86",1,5,0,1,1
"116.18,39.91",1,4,0,0,0
"116.18,39.92",1,13,0,1,1
"116.18,39.93",2,22,0,1,2
"116.18,40.07",1,6,0,1,0
"116.19,39.73",1,7,0,0,0
"116.19,39.74",1,5,0,0,0
"116.19,39.75",1,7,0,0,0
"116.19,39.76",1,7,0,0,0
"116.19,39.85",1,4,0,0,0
"116.19,39.86",1,3,0,1,1
"116.19,39.90",1,2,0,0,0
"116.19,39.91",1,15,0,0,0
"116.19,39.92",1,22,0,1,2
"116.19,39.93",1,23,0,1,3
"116.19,40.07",1,5,0,0,0
"116.19,40.24",1,6,0,0,0
"116.19,40.25",1,9,0,0,0
"116.20,39.76",1,13,0,1,0
"116.20,39.86",1,2,0,1,0
"116.20,39.87",1,3,0,0,0
"116.20,39.91",1,21,0,0,1
"116.20,39.93",1,17,0,2,1
"116.20,39.94",1,14,0,0,0
"116.20,39.99",1,3,0,1,0
"116.20,40.00",1,2,0,1,0
"116.20,40.24",2,9,0,0,0
"116.20,40.25",1,14,0,0,0
"116.21,39.76",1,24,0,0,0
"116.21,39.77",1,19,0,0,1
"116.21,39.79",1,5,0,0,0
"116.21,39.80",1,6,0,1,0
"116.21,39.86",1,1,0,0,0
"116.21,39.90",1,24,0,2,0
"116.21,39.91",1,23,0,2,1
"116.21,39.93",1,8,0,2,0
"116.21,39.94",1,8,0,1,0
"116.21,39.99",2,6,0,2,0
"116.21,40.00",2,4,0,1,0
"116.21,40.07",1,4,0,0,0
"116.21,40.24",1,11,0,1,0
"116.22,39.76",1,18,0,2,0
"116.22,39.77",1,18,0,1,1
"116.22,39.79",1,6,0,0,0
"116.22,39.80",1,7,0,1,0
"116.22,39.85",1,1,0,1,0
"116.22,39.91",1,17,0,1,1
"116.22,39.93",1,9,0,1,0
"116.22,39.99",1,5,0,1,0
"116.22,40.00",1,3,0,1,0
"116.22,40.07",1,8,0,0,0
"116.23,39.84",1,10,0,1,1
"116.23,39.85",1,4,0,2,1
"116.23,39.86",1,8,0,2,0
"116.23,39.90",1,24,0,2,2
"116.23,39.91",1,11,0,1,0
"116.23,39.93",1,13,0,1,0
"116.23,39.94",1,3,0,0,0
"116.23,39.98",1,5,0,0,0
"116.23,39.99",1,4,0,0,0
"116.23,40.07",1,10,0,1,1
"116.23,40.22",1,24,0,0,1
"116.24,39.85",1,9,0,4,1
"116.24,39.86",1,9,0,6,1
"116.24,39.90",1,19,0,3,2
"116.24,39.91",1,11,0,2,1
"116.24,39.98",2,6,0,0,0
"116.24,39.99",1,1,0,0,0
"116.24,40.06",1,5,0,1,0
"116.24,40.07",2,15,0,1,1
"116.24,40.08",1,15,0,0,0
"116.24,40.22",1,24,0,0,1
"116.25,39.84",1,12,0,1,0
"116.25,39.86",2,9,0,5,1
"116.25,39.87",1,13,0,3,1
"116.25,39.90",1,18,0,2,1
"116.25,39.91",1,16,0,1,2
"116.25,39.93",1,19,0,2,0
"116.25,39.98",1,7,0,1,0
"116.25,39.99",1,1,0,0,0
"116.25,40.05",1,13,0,1,0
"116.25,40.06",1,5,0,1,0
"116.25,40.07",1,9,0,0,0
"116.26,39.84",1,8,0,1,0
"116.26,39.86",1,7,0,1,1
"116.26,39.87",1,12,0,2,1
"116.26,39.91",1,20,0,1,1
"116.26,39.93",1,17,0,3,0
"116.26,39.98",1,7,0,1,0
"116.26,39.99",1,3,0,0,0
"116.26,40.01",1,7,0,0,0
"116.26,40.04",1,10,0,2,0
"116.26,40.05",1,21,0,0,0
"116.26,40.22",1,24,0,1,0
"116.26,40.23",1,21,0,2,0
"116.27,39.83",1,9,0,1,0
"116.27,39.84",2,4,0,2,0
"116.27,39.86",1,6,0,1,2
"116.27,39.87",1,8,0,2,3
"116.27,39.90",1,24,0,0,1
"116.27,39.91",1,21,0,2,1
"116.27,39.93",1,16,0,2,2
"116.27,39.94",2,8,0,2,1
"116.27,39.95",1,9,0,2,3
"116.27,39.98",1,4,0,1,0
"116.27,39.99",1,2,0,0,0
"116.27,40.00",1,5,0,1,0
"116.27,40.01",1,8,0,1,0
"116.27,40.02",1,9,0,0,0
"116.27,40.03",1,9,0,1,1
"116.27,40.04",1,11,0,1,1
"116.27,40.22",1,22,0,0,0
"116.28,39.83",2,21,0,2,2
"116.28,39.84",2,15,0,2,3
"116.28,39.86",1,7,0,2,2
"116.28,39.87",1,14,0,3,2
"116.28,39.90",1,22,0,0,0
"116.28,39.91",1,17,0,1,3
"116.28,39.93",1,21,0,0,2
"116.28,39.94",2,13,0,1,4
"116.28,39.95",2,15,0,3,2
"116.28,39.96",1,17,0,1,2
"116.28,39.97",1,12,0,2,0
"116.28,40.00",2,6,0,1,1
"116.28,40.01",2,9,0,1,0
"116.28,40.02",1,10,0,1,0
"116.28,40.03",2,13,0,1,2
"116.28,40.15",1,23,0,1,2
"116.28,40.16",1,14,0,0,1
"116.28,40.17",1,6,0,0,0
"116.28,40.21",1,15,0,1,0
"116.28,40.22",1,10,0,0,0
"116.28,40.23",1,9,0,0,2
"116.29,39.80",1,5,0,1,0
"116.29,39.81",1,9,0,1,0
"116.29,39.82",1,20,0,0,1
"116.29,39.83",3,24,0,2,4
"116.29,39.84",2,16,0,3,4
"116.29,39.85",1,12,0,0,3
"116.29,39.86",2,11,0,0,2
"116.29,39.87",1,15,0,2,4
"116.29,39.90",1,13,0,0,1
"116.29,39.91",1,14,0,0,2
"116.29,39.92",1,16,0,1,1
"116.29,39.93",2,21,0,0,0
"116.29,39.94",2,23,0,2,2
"116.29,39.95",2,19,0,1,1
"116.29,39.96",3,14,0,0,0
"116.29,39.97",2,15,0,0,2
"116.29,39.98",1,9,0,0,2
"116.29,39.99",1,5,0,1,0
"116.29,40.00",1,8,0,0,1
"116.29,40.02",1,10,0,1,0
"116.29,40.09",1,8,0,1,0
"116.29,40.10",1,8,0,2,0
"116.29,40.13",1,2,0,0,0
"116.29,40.14",1,4,0,1,1
"116.29,40.15",1,14,0,1,2
"116.29,40.16",1,6,0,0,1
"116.29,40.20",1,9,0,0,0
"116.29,40.21",1,16,0,1,0
"116.29,40.22",1,14,0,0,0
"116.30,39.81",2,9,0,0,0
"116.30,39.82",2,13,0,0,0
"116.30,39.83",2,9,0,0,2
"116.30,39.84",2,11,0,2,0
"116.30,39.85",2,11,0,1,1
"116.30,39.86",4,10,0,0,1
"116.30,39.87",2,10,0,1,3
"116.30,39.88",1,17,0,1,3
"116.30,39.90",2,12,0,0,1
"116.30,39.91",2,18,0,1,1
"116.30,39.92",1,17,0,1,1
"116.30,39.93",3,24,0,0,4
"116.30,39.94",1,24,0,1,5
"116.30,39.95",2,19,0,1,3
"116.30,39.96",2,16,0,0,3
"116.30,39.97",2,17,0,0,5
"116.30,39.98",3,18,0,0,4
"116.30,39.99",1,11,0,1,0
"116.30,40.00",2,7,0,1,1
"116.30,40.05",1,21,0,1,5
"116.30,40.06",1,6,0,0,3
"116.30,40.09",1,6,0,3,0
"116.30,40.10",1,10,0,2,0
"116.30,40.13",1,1,0,0,0
"116.30,40.15",1,14,0,1,0
"116.31,39.67",1,24,0,0,0
"116.31,39.71",1,2,0,0,1
"116.31,39.81",1,6,0,0,0
"116.31,39.82",2,8,0,1,0
"116.31,39.83",1,9,0,2,1
"116.31,39.85",2,16,0,1,7
"116.31,39.86",2,12,0,1,5
"116.31,39.87",2,10,0,1,0
"116.31,39.88",2,16,0,1,1
"116.31,39.89",2,15,1,1,3
"116.31,39.90",2,9,0,0,1
"116.31,39.91",1,15,0,1,0
"116.31,39.93",1,24,0,1,7
"116.31,39.94",2,17,0,2,9
"116.31,39.95",1,11,0,0,3
"116.31,39.96",1,14,0,1,6
"116.31,39.97",3,15,0,1,7
"116.31,39.98",4,24,0,1,5
"116.31,39.99",3,22,0,0,1
"116.31,40.00",2,6,0,1,0
"116.31,40.03",1,15,0,2,2
"116.31,40.04",1,22,0,1,7
"116.31,40.05",1,20,0,2,8
"116.31,40.06",1,13,0,0,4
"116.31,40.07",1,16,0,2,1
"116.31,40.10",1,14,0,0,0
"116.31,40.11",1,11,0,1,0
"116.32,39.67",1,24,0,1,0
"116.32,39.68",1,24,0,3,1
"116.32,39.69",1,19,0,3,1
"116.32,39.71",1,7,0,1,1
"116.32,39.72",1,10,0,1,1
"116.32,39.79",1,15,0,0,1
"116.32,39.82",1,6,0,1,0
"116.32,39.83",1,6,0,3,0
"116.32,39.84",1,11,0,1,1
"116.32,39.85",2,19,0,3,7
"116.32,39.86",2,9,0,1,5
"116.32,39.87",1,14,0,1,2
"116.32,39.88",1,19,0,1,3
"116.32,39.89",3,16,3,2,2
"116.32,39.90",3,12,3,0,2
"116.32,39.91",2,10,0,0,1
"116.32,39.92",1,10,0,0,1
"116.32,39.93",3,23,0,1,7
"116.32,39.94",2,15,0,2,9
"116.32,39.95",3,9,0,1,5
"116.32,39.96",2,10,0,2,6
"116.32,39.97",2,16,0,1,8
"116.32,39.98",3,24,0,1,5
"116.32,39.99",2,15,0,1,2
"116.32,40.00",2,5,0,1,0
"116.32,40.03",1,11,0,1,2
"116.32,40.04",2,17,0,0,6
"116.32,40.07",1,22,0,5,4
"116.32,40.09",1,22,0,0,0
"116.32,40.10",1,10,0,0,0
"116.32,40.11",1,5,0,0,0
"116.33,39.67",1,22,0,1,0
"116.33,39.69",1,9,0,4,1
"116.33,39.71",1,14,0,3,1
"116.33,39.72",1,15,0,2,1
"116.33,39.73",2,24,0,2,2
"116.33,39.74",2,24,0,2,1
"116.33,39.75",2,24,0,0,1
"116.33,39.76",2,24,0,0,1
"116.33,39.77",2,22,0,1,0
"116.33,39.78",1,23,0,1,0
"116.33,39.79",1,23,0,1,1
"116.33,39.83",1,3,0,3,1
"116.33,39.84",2,0,0,1,4
"116.33,39.85",2,9,0,3,4
"116.33,39.87",2,16,0,1,4
"116.33,39.88",1,20,0,1,3
"116.33,39.89",3,19,2,2,3
"116.33,39.90",1,14,2,0,2
"116.33,39.91",3,12,0,0,4
"116.33,39.92",3,12,0,0,3
"116.33,39.93",4,23,0,0,5
"116.33,39.94",4,14,0,1,6
"116.33,39.95",1,11,0,0,4
"116.33,39.96",1,14,0,1,4
"116.33,39.97",2,16,0,1,4
"116.33,39.98",2,19,0,1,1
"116.33,39.99",1,17,0,1,4
"116.33,40.00",1,9,0,0,3
"116.33,40.03",1,10,0,1,0
"116.33,40.07",2,24,0,3,4
"116.33,40.08",1,24,0,1,2
"116.33,40.09",1,21,0,0,0
"116.34,39.72",1,23,0,2,0
"116.34,39.73",1,24,0,2,0
"116.34,39.74",1,24,0,2,1
"116.34,39.75",1,24,0,3,2
"116.34,39.76",2,21,0,4,0
"116.34,39.77",1,17,0,2,0
"116.34,39.79",1,24,0,3,1
"116.34,39.82",1,9,0,3,2
"116.34,39.83",1,8,0,3,3
"116.34,39.84",1,4,0,1,3
"116.34,39.85",1,4,0,4,2
"116.34,39.86",2,9,0,3,1
"116.34,39.87",3,13,0,3,0
"116.34,39.88",1,17,0,2,2
"116.34,39.89",1,19,0,2,4
"116.34,39.90",1,15,0,1,3
"116.34,39.91",9,18,0,0,2
"116.34,39.93",14,22,0,1,5
"116.34,39.94",2,14,0,0,4
"116.34,39.96",1,12,0,0,2
"116.34,39.97",2,12,0,1,2
"116.34,39.98",1,13,0,1,3
"116.34,39.99",1,21,0,1,3
"116.34,40.00",2,16,0,1,2
"116.34,40.03",1,12,0,1,1
"116.34,40.04",1,17,0,2,1
"116.34,40.06",1,18,0,2,1
"116.34,40.07",1,24,0,0,1
"116.34,40.09",1,21,0,0,0
"116.35,39.82",1,5,0,4,2
"116.35,39.83",1,6,0,1,2
"116.35,39.84",1,5,0,1,3
"116.35,39.85",1,11,0,5,1
"116.35,39.86",1,7,0,3,0
"116.35,39.87",1,15,0,3,0
"116.35,39.89",1,24,0,0,5
"116.35,39.90",8,21,0,1,1
"116.35,39.91",12,24,0,1,1
"116.35,39.92",5,24,0,2,6
"116.35,39.93",15,24,0,1,6
"116.35,39.94",4,19,0,0,7
"116.35,39.96",2,16,0,0,5
"116.35,39.97",3,12,0,0,2
"116.35,39.98",3,16,0,0,2
"116.35,39.99",1,13,0,1,0
"116.35,40.00",2,14,0,3,0
"116.35,40.01",1,14,0,4,1
"116.35,40.02",1,10,0,1,0
"116.35,40.03",2,13,0,0,2
"116.35,40.04",3,17,0,0,1
"116.35,40.05",1,10,0,0,0
"116.35,40.06",1,13,0,3,0
"116.35,40.07",1,24,0,0,0
"116.35,40.09",1,15,0,0,0
"116.36,39.73",1,5,0,1,0
"116.36,39.74",1,6,0,0,0
"116.36,39.81",1,8,0,1,0
"116.36,39.82",1,6,0,1,0
"116.36,39.84",1,11,0,0,3
"116.36,39.85",1,15,0,3,1
"116.36,39.86",2,12,0,4,1
"116.36,39.87",1,18,0,2,1
"116.36,39.89",2,23,0,2,2
"116.36,39.90",15,22,0,0,3
"116.36,39.91",11,24,0,2,4
"116.36,39.92",5,24,0,2,7
"116.36,39.93",2,20,0,0,5
"116.36,39.94",3,20,0,1,8
"116.36,39.96",1,17,0,1,4
"116.36,39.97",3,16,0,0,2
"116.36,39.98",3,17,0,0,1
"116.36,39.99",1,14,0,1,1
"116.36,40.00",2,17,0,4,2
"116.36,40.01",1,12,0,6,0
"116.36,40.02",1,8,0,3,0
"116.36,40.03",1,10,0,0,1
"116.36,40.04",1,12,0,0,0
"116.36,40.05",1,5,0,0,0
"116.36,40.07",1,20,0,1,0
"116.36,40.08",2,24,0,0,0
